foolproof;adj;/fuːl pruːf/;This app is  foolproof . Absolutly anyone can use it.;infalible
geek;n;/ɡiːk/;I call myself a  geek  because I love technology and science-fiction.;friki
good-natured rivalry;phr;/ɡʊd ˈneɪtʃəd ˈraɪvlriː/;Our offices have a  good-natured rivalry  to get the better sales figures.;sana rivalidad
gut feeling;phr;/ɡʌt ˈfiːlɪŋ/;I have a  gut feeling  that this is going to go wrong.;intuición
job-seeker;n;/dʒɒb ˈsiːkə/;Job-seekers  have to work hard at applying to lots of places.;solicitante de empleo
light-hearted response;phr;/laɪt ˈhɑːtɪd rɪˈspɒns/;I was relieved at his  light-hearted response . I was worried he'd be angry.;respuesta desenfadada
absent-minded;adj;/ˌæbsənt ˈmaɪndɪd/;She’s so  absent-minded  – she’s always forgetting things.;distraído
bad-tempered;adj;/bæd ˈtempəd/;Don't be so  bad-tempered . You can't always win things.;de mal humor
big-headed;adj;/bɪɡ ˈhedɪd/;She always tells me how clever she is. That's so  big-headed .;engreído
easy-going;adj;/ˌiːziˈɡəʊɪŋ/;My husband is really  easy-going  and calm.;de trato fácil
good-tempered;adj;/ˌɡʊd ˈtempəd/;My mum is very  good-tempered  and kind.;sereno
laid-back;adj;/ˌleɪd ˈbæk/;I’m really  laid-back  – nothing bothers me usually.;despreocupado
narrow-minded;adj;/ˌnærəʊ ˈmaɪndɪd/;The people who live here are judgemental and  narrow-minded .;estrecho de miras
open-minded;adj;/ˌəʊpən ˈmaɪndɪd/;Psychotherapists need to be  open-minded .;abierto de mente
self-centred;adj;/self ˈsentəd/;I worry that I'm too  self-centred . I'm trying to be more aware of people's needs.;egocéntrico
strong-willed;adj;/strɒŋ wɪld/;My three year old is very  strong-willed . She doesn't want to go to bed on time.;de fuerte carácter
tight-fisted;adj;/taɪt fɪstɪd/;Don't try to borrow money from them. They're very  tight-fisted .;agarrado
two-faced;adj;/tuː feɪst/;You're so  two-faced ! You tell me one thing and tell my friends something else.;falso
well-balanced;adj;/wel ˈbælənst/;I think I'm quite  well-balanced . I don't get stressed easily.;equilibrado
well-behaved;adj;/wel bɪˈheɪvd/;They're very  well-behaved  children. I'm proud of them.;bien educados
allergic reaction;n;/əˈlɜːdʒɪk riˈækʃn/;I had an  allergic reaction  to the medicine I was given.;reacción alérgica
be sick;phr v;/bi sɪk/;I feel terrible – I think I’m going to  be sick .;ponerse enfermo
bleed;v;/ˈbliːd/;A cut finger can sometimes  bleed  for a long time.;sangrar
blister;n;/ˈblɪstə/;You will get a  blister  if you wear shoes that are too tight.;ampolla
(high / low) blood pressure;n;/haɪ ləʊ blʌd ˈpreʃə/;My grandparents have  high blood pressure  and have to take medication for it.;presión arterial (alta/baja)
burn;v;/bɜːn/;Don’t touch that hot pan – it will  burn  you.;quemar
choke;v;/tʃəʊkɪŋ/;Be careful not to  choke  on that sweet.;atragantarse
cold;n;/kəʊld/;I get at least one  cold  every winter.;resfriado
come round;phr v;/kʌm raʊnd/;If you pour cold water on his face he might  come round .;volver en sí
cough;n;/kɒf/;You've had that  cough  for ages. Do you need to see a doctor?;tos
cut;v;/kʌt/;I  cut  my finger when I was chopping cucumbers.;cortarse
diarrhoea;n;/daɪəˈrɪə/;I had  diarrhoea  last night and had to go to the toilet six times.;diarrea
dizzy;adj;/ˈdɪzi/;If I don’t eat enough I feel  dizzy .;mareado
earache;n;/ˈɪəreɪk/;I have an  earache  and it’s really painful.;dolor de oído
faint;v;/ˈfeɪnt/;I  faint  when I see blood.;desmayarse
feel sick;phr v;/fiːl sɪk/;I'm going to go home. I  feel sick  and I can't concentrate.;sentirse enfermo
flu;n;/fluː/;My teacher has  flu  and hasn’t been at school all week.;gripe
food poisoning;n;/ˈfuːd pɔɪzənɪŋ/;I ate some mussels and they gave me  food poisoning .;intoxicación alimentaria
get over;phr v;/ɡet ˈəʊvə/;It often takes a long time to  get over  flu.;curarse (de)
headache;n;/ˈhedeɪk/;If you have a  headache , take some paracetemol.;dolor de cabeza
hurt;v;/hɜːt/;Does your back  hurt  after driving so long?;doler
lie down;phr v;/ˌlaɪ ˈdaʊn/;Please  lie down  on the couch.;echarse
pass out;phr v;/pɑːs aʊt/;I’m so tired I think I’m going to  pass out .;desmayarse
rash;n;/ræʃ/;One of the symptoms of measles is a red  rash .;sarpullido
sore throat;n;/sɔ θrəʊt/;I can’t talk too long because I have a  sore throat .;dolor de garganta
sprain;v;/spreɪn/;Did you  sprain  your wrist when you were playing tennis?;torcer(se)
stomach ache;n;/ˈstʌmək eɪk/;I’ve eaten too much and now I have a  stomach ache .;dolor de estómago
sunburn;n;/ˈsʌnbɜːn/;Don’t stay out in the sun too long or you will get  sunburn .;quemarse por el sol
swell;v;/ˈswel/;This bee sting is starting to  swell.;dar de sí
temperature;n;/ˈtemprətʃə/;I’ve got a high  temperature  and I feel feverish.;temperatura
